generator,deltaF_int_mean,deltaF_int_ci95_lo,deltaF_int_ci95_hi,deltaF_cum_mean,deltaF_cum_ci95_lo,deltaF_cum_ci95_hi,delta_randers_asym_mean,delta_randers_asym_ci95_lo,delta_randers_asym_ci95_hi
biased,0.0003544042885266,0.0003273569315574,0.0003835264953193,0.1026845934046603,0.0956593956339191,0.1103508401188585,0.0344013105325681,0.0327087738649054,0.036027954771224
block,0.0003289533422408,0.0003014191822278,0.0003549792473834,0.0955934754650378,0.0878902175383758,0.1029227620565516,0.0329748604112091,0.0314635147408692,0.0345357327145444
latent,0.0003630910244674,0.0003376390509378,0.0003877064018741,0.1051664731753874,0.0980762077037546,0.1124049242410836,0.0346681529717124,0.0330408521776794,0.0362392744258512
mixture,0.0001079153499106,9.79557169588105e-05,0.0001187375217491,0.0324353056813964,0.029577749865888,0.035541101324525,0.0161929491586106,0.0151675679352103,0.0171860532802531
