generator,corr,lambda_interference,randers_mode,reference_load,n_points,prefactor_a,decay_beta,loglog_r2
biased,0.25,4.0,mean,0.6,4,0.0513752287112002,1.0330040835358254,0.9700886818937017
biased,0.25,4.0,pc1,0.1,4,0.026719309605428076,0.9258660296389285,0.8796410916857647
biased,0.25,4.0,pc1,0.3,4,0.01106832785959424,0.760401223703569,0.9771698946158153
biased,0.25,4.0,pc1,0.6,4,0.042194068335191404,0.9989671912711402,0.9755872705413674
biased,0.25,4.0,random-fixed,0.1,4,0.012116200853347057,0.7929490375301436,0.9573839512242108
biased,0.25,4.0,random-fixed,0.3,4,0.026068222814803945,0.9214417849821047,0.9955713636794866
biased,0.25,4.0,random-fixed,0.6,4,0.010858468509386916,0.7629745778409379,0.9713303380520895
biased,0.35,0.5,mean,0.1,4,0.005845593700063053,0.6970026802214779,0.9480898404263648
biased,0.35,0.5,mean,0.3,4,0.003575468694887474,0.6062916469404409,0.9740589007411394
biased,0.35,0.5,mean,0.6,4,0.00375446614791186,0.6143192756418211,0.9674726383517791
biased,0.35,0.5,pc1,0.1,4,0.0012020615779342575,0.4163636049523313,0.9118574039872184
biased,0.35,0.5,pc1,0.3,4,0.002204752605700237,0.5337882722613736,0.9745767575729117
biased,0.35,0.5,pc1,0.6,4,0.00356691413065251,0.6158917602432066,0.9874930449374048
biased,0.35,0.5,random-fixed,0.1,4,0.0017081747260213687,0.48287869846214265,0.9411198397796425
biased,0.35,0.5,random-fixed,0.3,4,0.0016361301617630252,0.4787346089410966,0.9772206935113313
biased,0.35,0.5,random-fixed,0.6,4,0.0029100338334802746,0.581877667346563,0.9249265229645565
biased,0.35,1.0,mean,0.1,4,0.0051582434798545865,0.5659385372157183,0.9833378424397627
biased,0.35,1.0,mean,0.3,4,0.007410811103073253,0.6125263544144907,0.9964395229002772
biased,0.35,1.0,mean,0.6,4,0.007428191615855895,0.6191962557933928,0.9332676743576616
biased,0.35,1.0,pc1,0.1,4,0.008674332472480813,0.656701923403669,0.8053525079832689
biased,0.35,1.0,pc1,0.3,4,0.007644636014409331,0.6250974425413185,0.9792540500737805
biased,0.35,1.0,pc1,0.6,4,0.0051176919523738046,0.5539024684893834,0.9775415698013289
biased,0.35,1.0,random-fixed,0.1,4,0.003979309778962756,0.5042383955938018,0.938182790817851
biased,0.35,1.0,random-fixed,0.3,4,0.0026137168569058396,0.4294014106763175,0.9804926710553399
biased,0.35,1.0,random-fixed,0.6,4,0.005329128524235096,0.5548818040597651,0.9939877114020499
biased,0.35,2.0,mean,0.1,4,0.01558606351592263,0.6252928476767305,0.9756652547674957
biased,0.35,2.0,mean,0.3,4,0.008293444577460276,0.527714503369676,0.9888934925021828
biased,0.35,2.0,mean,0.6,4,0.008606732988233832,0.516534084355725,0.982381546296436
biased,0.35,2.0,pc1,0.1,4,0.010872416329718696,0.5621710090733226,0.967802229765267
biased,0.35,2.0,pc1,0.3,4,0.013020656994746247,0.6017968406222187,0.9855988590563103
biased,0.35,2.0,pc1,0.6,4,0.010103659082978703,0.5513502552268932,0.9950601067262539
biased,0.35,2.0,random-fixed,0.1,4,0.0065307708160978395,0.46461610497472194,0.9600646861981803
biased,0.35,2.0,random-fixed,0.3,4,0.009057207435150363,0.5272826072271015,0.9987947006498358
biased,0.35,2.0,random-fixed,0.6,4,0.0049783058440496285,0.42707793223357543,0.9841076730422378
biased,0.35,4.0,mean,0.1,4,0.03095560194103354,0.6172506358468439,0.9527689639780407
biased,0.35,4.0,mean,0.3,4,0.021949056640206133,0.5628566410999921,0.9747895123105311
biased,0.35,4.0,mean,0.6,4,0.03110201742814028,0.6241408694448191,0.9946614636639491
biased,0.35,4.0,pc1,0.1,4,0.05241987995055754,0.7132896432630169,0.8791061942155344
biased,0.35,4.0,pc1,0.3,4,0.027551146654331782,0.6213684208013972,0.9203392731378564
biased,0.35,4.0,pc1,0.6,4,0.02312731659374862,0.5830958388355755,0.993898428664901
biased,0.35,4.0,random-fixed,0.1,4,0.04575749240571191,0.6882881978990781,0.9649005940575802
biased,0.35,4.0,random-fixed,0.3,4,0.02857535714412812,0.6157946171575825,0.9492902127440727
biased,0.35,4.0,random-fixed,0.6,4,0.027302871787507732,0.6047025229399505,0.9041150003048075
biased,0.45,0.5,mean,0.1,4,0.002672105632539417,0.2766857218252307,0.9670164722450526
biased,0.45,0.5,mean,0.3,4,0.004760953964303469,0.36419272566535343,0.9623973344956687
biased,0.45,0.5,mean,0.6,4,0.005969989675952423,0.40946731401935027,0.9525891202447464
biased,0.45,0.5,pc1,0.1,4,0.005384997527198342,0.39244100227654694,0.8296312499862534
biased,0.45,0.5,pc1,0.3,4,0.0036755325297104925,0.3108134239156731,0.9031657462655149
biased,0.45,0.5,pc1,0.6,4,0.003799006999638579,0.33513206439697835,0.9276025713166456
biased,0.45,0.5,random-fixed,0.1,4,0.00412526582550199,0.347853973806673,0.922792919090503
biased,0.45,0.5,random-fixed,0.3,4,0.004761013768122297,0.36853997054244514,0.9676612420686014
biased,0.45,0.5,random-fixed,0.6,4,0.004314700463389159,0.3500303147734628,0.9868754170118959
biased,0.45,1.0,mean,0.1,4,0.008792880555592722,0.3485680709988041,0.9950083225729339
biased,0.45,1.0,mean,0.3,4,0.015251868788123808,0.45697747585129533,0.8639650102497068
biased,0.45,1.0,mean,0.6,4,0.009084967994052517,0.36554512228025104,0.9618913405527995
biased,0.45,1.0,pc1,0.1,4,0.005299618899703358,0.2623838746499023,0.9394138165341086
biased,0.45,1.0,pc1,0.3,4,0.006573448634705132,0.3110086282378086,0.9025471889244008
biased,0.45,1.0,pc1,0.6,4,0.006237710843201408,0.29932749144543935,0.879696317827037
biased,0.45,1.0,random-fixed,0.1,4,0.010454346832965039,0.38775837997836865,0.9101082264900802
biased,0.45,1.0,random-fixed,0.3,4,0.007419593957476052,0.3206823468019564,0.9343091864784278
biased,0.45,1.0,random-fixed,0.6,4,0.007893212426999507,0.33478018239144824,0.9883166782381206
biased,0.45,2.0,mean,0.1,4,0.03005903535429222,0.44819465927672963,0.9013403855562662
biased,0.45,2.0,mean,0.3,4,0.01673162895711875,0.35214090042751095,0.9669362816580663
biased,0.45,2.0,mean,0.6,4,0.012213171441993667,0.3023595527198873,0.9809678017152678
biased,0.45,2.0,pc1,0.1,4,0.025238843808794664,0.420163898640198,0.8586419692172576
biased,0.45,2.0,pc1,0.3,4,0.025078183979673176,0.42044605593615664,0.9875061556458048
biased,0.45,2.0,pc1,0.6,4,0.010690431981194256,0.2670306284704503,0.9809933447872392
biased,0.45,2.0,random-fixed,0.1,4,0.013923193291574487,0.3147740276057337,0.9217325549412982
biased,0.45,2.0,random-fixed,0.3,4,0.014967266944110371,0.3297763091583908,0.9543533704182307
biased,0.45,2.0,random-fixed,0.6,4,0.023853790702973842,0.4134863298442954,0.9731806829804384
biased,0.45,4.0,mean,0.1,4,0.033319144689420835,0.34467387049944226,0.97985656828669
biased,0.45,4.0,mean,0.3,4,0.026076899646731554,0.3063545684482838,0.9657468786176143
biased,0.45,4.0,mean,0.6,4,0.03524679479892556,0.3606244088271059,0.985084114277166
biased,0.45,4.0,pc1,0.1,4,0.02519823094051084,0.2967135294338098,0.8960731418031557
biased,0.45,4.0,pc1,0.3,4,0.03655987771062081,0.37376206450974986,0.9491595680562614
biased,0.45,4.0,pc1,0.6,4,0.03716638551116093,0.3636406012878916,0.937632891588215
biased,0.45,4.0,random-fixed,0.1,4,0.03438064349367834,0.3541228096601202,0.9703783806666209
biased,0.45,4.0,random-fixed,0.3,4,0.05297551782719697,0.4206100618290804,0.9292844092093042
biased,0.45,4.0,random-fixed,0.6,4,0.03333772381652631,0.35146185056679785,0.9780389848229036
block,0.15,0.5,mean,0.1,3,0.004609282174877205,1.4206434627379751,0.8295516638164512
block,0.15,0.5,mean,0.3,3,0.004944358491765874,1.3835974776166184,0.8699047902946464
block,0.15,0.5,mean,0.6,3,3.850822452609538e-05,0.553945471678684,0.9410612120714237
block,0.15,0.5,pc1,0.1,4,0.004168319155794223,1.4112368402946576,0.6856053704871483
block,0.15,0.5,pc1,0.3,3,0.03260629627674226,1.6632992497192511,0.9373722488362882
block,0.15,0.5,pc1,0.6,3,0.003140027808565845,1.3015502043661842,0.9998191767334382
block,0.15,0.5,random-fixed,0.1,4,0.006343910078370151,1.4521628240362237,0.6833064669912703
block,0.15,0.5,random-fixed,0.3,4,0.0037062497688761346,1.3213497179206473,0.9875018168823229
block,0.15,0.5,random-fixed,0.6,4,0.0008448470731499167,1.1311233006510402,0.4839155626226067
block,0.15,1.0,mean,0.1,2,nan,nan,nan
block,0.15,1.0,mean,0.3,4,0.002104349174359956,1.0992346537539628,0.9954108838471187
block,0.15,1.0,mean,0.6,4,6.597240859490488e-06,0.19536424840113983,0.1786531222635026
block,0.15,1.0,pc1,0.1,4,0.004980647149043056,1.2090057720610292,0.8738921819048346
block,0.15,1.0,pc1,0.3,4,6.772723441538048e-06,0.20181620823427343,0.02563284992168413
block,0.15,1.0,pc1,0.6,3,0.0013860675307290804,1.0511221803075368,0.999404867592743
block,0.15,1.0,random-fixed,0.1,3,0.01163966574275745,1.4257077671787293,0.9180807796232173
block,0.15,1.0,random-fixed,0.3,4,0.006498518976986023,1.3238182899222446,0.98199828603271
block,0.15,1.0,random-fixed,0.6,3,0.0015210635032872257,1.0861216274400376,0.8554757866337188
block,0.15,2.0,mean,0.1,4,0.0043606981496575135,1.1534210220467151,0.9103116796128131
block,0.15,2.0,mean,0.3,4,0.02394857188177339,1.443569871156264,0.7385794217768769
block,0.15,2.0,mean,0.6,3,1.4956457993494343e-05,0.17666489644523886,0.11647357397447378
block,0.15,2.0,pc1,0.1,3,8.343544946269845e-05,0.45132534598495466,0.8768788809262632
block,0.15,2.0,pc1,0.3,4,4.77718191962182e-09,-1.2576338062157122,0.31934587961551564
block,0.15,2.0,pc1,0.6,4,0.005849839614275467,1.1933083014132067,0.9799129196162911
block,0.15,2.0,random-fixed,0.1,3,0.05583301045532968,1.516776543792231,0.8691947020147864
block,0.15,2.0,random-fixed,0.3,4,0.0006982464892966467,0.7918668200149805,0.6777723621162206
block,0.15,2.0,random-fixed,0.6,4,0.01724457415265154,1.3665453590350698,0.9738132252474827
block,0.15,4.0,mean,0.1,4,0.6440205422081238,1.8841842035300047,0.9008452133266285
block,0.15,4.0,mean,0.3,4,0.11733888118175329,1.5929335314910618,0.9373847196526661
block,0.15,4.0,mean,0.6,4,0.044071523129144585,1.3851211744537022,0.8429933547965205
block,0.15,4.0,pc1,0.1,3,5.1416720372303676e-05,0.2112175917131561,0.2127015872523963
block,0.15,4.0,pc1,0.3,4,0.00034167335034498406,0.5959803586165402,0.2414456811523611
block,0.15,4.0,pc1,0.6,3,0.03840705015963872,1.3722525571017117,0.9996316369698326
block,0.15,4.0,random-fixed,0.1,3,4.619150444332965e-06,-0.05357391316719667,0.13803472152292195
block,0.15,4.0,random-fixed,0.3,4,0.009636152090494845,1.1264325986679777,0.9672215274431676
block,0.15,4.0,random-fixed,0.6,3,0.011219573943566324,1.1779584904165448,0.8946342991036321
block,0.25,0.5,mean,0.1,4,0.0005051075084387235,0.6041764035675624,0.9981705187550185
block,0.25,0.5,mean,0.3,4,0.004193063820669184,0.9643367007701612,0.999027004672359
block,0.25,0.5,mean,0.6,4,0.0030998649637400226,0.9067360481043043,0.9962944868663236
block,0.25,0.5,pc1,0.1,4,0.014178344988250113,1.184917688690006,0.9583735972902104
block,0.25,0.5,pc1,0.3,4,0.010675631399355137,1.142501998062732,0.9566490503371229
block,0.25,0.5,pc1,0.6,4,0.0034503474254853595,0.9291579240338683,0.9847749440540975
block,0.25,0.5,random-fixed,0.1,4,0.000613585986726299,0.6400256699501905,0.8846429921982241
block,0.25,0.5,random-fixed,0.3,4,0.0009964543989444664,0.7128666250119897,0.9670653618098057
block,0.25,0.5,random-fixed,0.6,4,0.0006250759535328816,0.6310616469533085,0.9650673160576975
block,0.25,1.0,mean,0.1,4,0.003350115835510173,0.8273493285090274,0.9613653016136889
block,0.25,1.0,mean,0.3,4,0.0009717190980142917,0.6006634641427167,0.981728370713861
block,0.25,1.0,mean,0.6,4,0.003937850265439557,0.8330089937217636,0.988869222348516
block,0.25,1.0,pc1,0.1,4,0.007335277324209678,0.935101646447892,0.9744180186102498
block,0.25,1.0,pc1,0.3,4,0.0012212857841683445,0.6363771975611188,0.9688684787707278
block,0.25,1.0,pc1,0.6,4,0.006674907687269951,0.9089450940638735,0.9894648307780844
block,0.25,1.0,random-fixed,0.1,4,0.014480644251298538,1.0452923727144625,0.9721112776973269
block,0.25,1.0,random-fixed,0.3,4,0.0006904105090781346,0.5157731510611547,0.6594948049873628
block,0.25,1.0,random-fixed,0.6,4,0.0008842124722222548,0.5725760116426731,0.9610175604887068
block,0.25,2.0,mean,0.1,4,4.06208815895295e-05,-0.07833132222157621,0.005944455546214367
block,0.25,2.0,mean,0.3,4,0.00896160372541174,0.8406797993208693,0.9992033567178553
block,0.25,2.0,mean,0.6,4,0.00422887223761307,0.7202697928462594,0.977024697296433
block,0.25,2.0,pc1,0.1,4,0.004280275792694716,0.7223249791428493,0.9663778173099893
block,0.25,2.0,pc1,0.3,4,0.008431841434746089,0.8484541092324399,0.9791203581203197
block,0.25,2.0,pc1,0.6,4,0.009627722840496842,0.8682459380589992,0.9952962786031108
block,0.25,2.0,random-fixed,0.1,4,0.02012446929902425,1.0084481691986398,0.9531468680930153
block,0.25,2.0,random-fixed,0.3,4,0.005838522249652853,0.7780166602405643,0.9706814128895768
block,0.25,2.0,random-fixed,0.6,4,0.005610840678935069,0.7823007762875915,0.9967898717489687
block,0.25,4.0,mean,0.1,4,0.00020677729255560298,0.08622664316315182,0.015121306633168907
block,0.25,4.0,mean,0.3,4,0.0010028590286805966,0.33957397366751674,0.414910576685104
block,0.25,4.0,mean,0.6,4,0.05779236673937888,1.0645744416553424,0.9891962908890481
block,0.25,4.0,pc1,0.1,4,0.010075737376045281,0.7554532276263695,0.9274475234340507
block,0.25,4.0,pc1,0.3,4,0.050668328935763354,1.0335933411219396,0.9656768000413594
block,0.25,4.0,pc1,0.6,4,0.003801414159710317,0.5870799141945279,0.9669261361650012
block,0.25,4.0,random-fixed,0.1,4,0.1074555007661348,1.1664206098203036,0.9026841088539911
