N,nominal_load,actual_load,P,generator,corr,condition,cue_noise,cost_int_mean,cost_int_sem,n_trials,cost_cum_mean,cost_cum_sem,initial_overlap_mean,initial_overlap_sem,final_overlap_mean,final_overlap_sem,retrieval_error_mean,retrieval_error_sem,success_mean,success_sem,iterations_mean,iterations_sem,pearson_cost_error,spearman_cost_error,pearson_cost_failure,spearman_cost_failure
128,0.05,0.046875,6,block,0.15,correlated,0.05,1.0001213299800824,7.1493467371727345e-06,600,1.0006061979753709,3.569165916109435e-05,0.9009635416666667,0.0016406111982795641,1.0,0.0,0.0,0.0,1.0,0.0,1.9983333333333333,0.001666666666666667,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.15,correlated,0.1,1.0001331737704773,7.951626094658684e-06,600,1.000665314724617,3.96911501463008e-05,0.7988541666666666,0.0021474044512825806,0.999921875,7.812500000000003e-05,7.8125e-05,7.812500000000003e-05,1.0,0.0,2.0016666666666665,0.0016666666666666666,0.14376076029899174,0.06829505321533849,nan,nan
128,0.05,0.046875,6,block,0.15,correlated,0.15,1.0001289740865384,8.096177263778781e-06,600,1.0006443135991498,4.040725822968896e-05,0.6980729166666667,0.0024713917342079977,0.9990625,0.00047621182515840703,0.0009375,0.00047621182515840703,0.9966666666666667,0.0023550543175125337,2.026666666666667,0.008098814696029032,0.12300849558338003,0.08515703092475352,0.03724420148932808,-0.003172059888112744
128,0.05,0.046875,6,block,0.15,correlated,0.2,1.0001251117878864,7.366642560851969e-06,600,1.0006250789517832,3.677407742798545e-05,0.6024739583333333,0.0028754857396027476,0.9985677083333333,0.0006489515000788045,0.0014322916666666666,0.0006489515000788045,0.995,0.0028819280320594325,2.07,0.011442921668703426,0.3002984171110001,0.17660729256790633,0.23520805166838535,0.11494035333636168
128,0.05,0.046875,6,block,0.15,uncorrelated,0.05,1.0001035712719348,6.734522267692198e-06,600,1.0005174788319664,3.3612262188430854e-05,0.8988541666666666,0.0015558719092451385,1.0,0.0,0.0,0.0,1.0,0.0,1.9983333333333333,0.0016666666666666668,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.15,uncorrelated,0.1,1.0000983035765416,6.244577437641988e-06,600,1.0004911888209724,3.116985212848567e-05,0.7979166666666667,0.0021611149564495172,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.15,uncorrelated,0.15,1.0001054437233654,7.624065045023502e-06,600,1.0005267612646416,3.80428391329111e-05,0.6992447916666666,0.00248218755159959,1.0,0.0,0.0,0.0,1.0,0.0,2.0083333333333333,0.003714315780554692,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.15,uncorrelated,0.2,1.0001032243714272,6.427873593333952e-06,600,1.000515769021704,3.2085955736625294e-05,0.5968489583333333,0.002756984706198304,1.0,0.0,0.0,0.0,1.0,0.0,2.0483333333333333,0.008762991521414229,nan,nan,nan,nan
128,0.05,0.046875,6,block,0.25,correlated,0.05,1.0002436245529702,1.489435287339921e-05,600,1.001216213230461,7.423595022276032e-05,0.900234375,0.0015594679209754666,0.9990885416666667,0.0003563718598226453,0.0009114583333333333,0.0003563718598226453,0.9966666666666667,0.0023550543175125337,2.0083333333333333,0.006004620121904828,0.45287035496168215,0.20147304759109955,0.3128786792277486,0.09950191036223306
128,0.05,0.046875,6,block,0.25,correlated,0.1,1.0002192503591902,1.2371146757727819e-05,600,1.0010948622399014,6.168357193918676e-05,0.80265625,0.002080156131480748,0.9997135416666667,0.00012979030001576092,0.00028645833333333333,0.00012979030001576092,1.0,0.0,2.0166666666666666,0.0062040370769911105,0.35397227064915715,0.1521138398233129,nan,nan
128,0.05,0.046875,6,block,0.25,correlated,0.15,1.0002429590502404,1.45800888487671e-05,600,1.0012129442014597,7.266321134353972e-05,0.7000520833333334,0.0025146507950456,0.995546875,0.0013084408477446788,0.004453125,0.0013084408477446788,0.9833333333333333,0.005230718450397329,2.1233333333333335,0.04281657547721868,0.3330406936570267,0.21436758651169668,0.4620716429786769,0.17588921605115487
128,0.05,0.046875,6,block,0.25,correlated,0.2,1.0002131728520969,1.2504372243934701e-05,600,1.00106448137301,6.234381299256239e-05,0.5975,0.002918336879678969,0.994140625,0.0016298741648057833,0.005859375,0.0016298741648057833,0.975,0.006379092519234084,2.175,0.04235108448743791,0.1651623502034484,0.21328526784257187,0.2368395806208527,0.17408798870555833
