N,nominal_load,actual_load,P,condition,n_reps,cost_cum_mean,cost_cum_sem,cost_int_mean,cost_int_sem,randers_write_mean,randers_write_sem,randers_erase_mean,randers_erase_sem,randers_asymmetry_mean,randers_asymmetry_sem
64,0.6,0.59375,38,correlated,120,1.0573019866998332,0.003752786672731098,1.0015712871420015,0.00010700164721465843,1.0125309858467455,0.00088712127326968,0.9906115884372577,0.0006881756523516445,0.021919397409487888,0.0015733220757136342
64,0.6,0.59375,38,uncorrelated,120,1.0176641630385606,0.0010041806393362674,1.0004703761416198,2.7223746941815955e-05,1.0003528551663265,0.0003067299168668375,1.0005878971169127,0.0002659431055756391,-0.00023504195058617338,0.000571536022502954
128,0.05,0.046875,6,correlated,120,1.0040192164545418,0.00038050960496514445,1.00067218258503,6.389255506908938e-05,1.0055148155818514,0.00039266464356498134,0.9958295495882087,0.00027374771692430575,0.009685265993642781,0.0006647688585377182
128,0.05,0.046875,6,uncorrelated,120,1.0006780616678637,6.650640619511105e-05,1.0001130787328112,1.1097855883532745e-05,1.0001584267830035,0.00014883417135020584,1.0000677306826187,0.00013164964932839703,9.069610038483963e-05,0.0002801318115436696
128,0.1,0.1015625,13,correlated,120,1.0131010657567379,0.0010129607492328169,1.001018177754625,7.949236161702161e-05,1.0096753027372896,0.000555545811555531,0.9923610527719605,0.00041158783132427725,0.017314249965329088,0.0009647773012672018
128,0.1,0.1015625,13,uncorrelated,120,1.0016845943656605,0.0001577107226820685,1.0001297899315342,1.2172723139579294e-05,1.0001147155503674,0.00017634799745434998,1.0001448643127013,0.00015740314314129477,-3.0148762333895297e-05,0.0003334007057570593
128,0.15,0.1484375,19,correlated,120,1.0155554118255992,0.0010512266645088726,1.0008280010746387,5.655503311289164e-05,1.0095481300832354,0.0004840147028908624,0.992107872066042,0.0003837849993456534,0.017440258017193504,0.0008662150019440583
128,0.15,0.1484375,19,uncorrelated,120,1.0020163099860107,0.0001312650638129576,1.0001062740192164,6.930184269503277e-06,0.9998862251558189,0.00013536274361871864,1.000326322882614,0.0001250067990177526,-0.00044009772679492375,0.0002602065227953873
128,0.2,0.203125,26,correlated,120,1.02349696740129,0.0015354209574497148,1.0009190967527295,6.121088059996745e-05,1.0115911290480253,0.0005999328773937544,0.9902470644574337,0.00048597206025077154,0.021344064590591662,0.001084983646802736
128,0.2,0.203125,26,uncorrelated,120,1.0030035708577405,0.00019621846446474505,1.00011577342856,7.586565290572113e-06,0.9999576202516283,0.00014046340382712147,1.0002739266054914,0.00012902915269516772,-0.0003163063538632484,0.0002693079208419897
128,0.25,0.25,32,correlated,120,1.0244565498400642,0.0014489223533998067,1.0007770847071202,4.6696139930980595e-05,1.0109789141462342,0.0005231260361040851,0.990575255268006,0.00043658673595726457,0.020403658878228,0.0009590701420593629
128,0.25,0.25,32,uncorrelated,120,1.0040478577203384,0.00024259349263220192,1.0001268494894273,7.630254518224728e-06,1.0002197954067171,0.00015597632014772802,1.0000339035721377,0.00014356328122541655,0.00018589183457945192,0.0002994080379515847
128,0.3,0.296875,38,correlated,120,1.032951585657395,0.002072112119619249,1.000887568180918,5.7219236540651726e-05,1.0129596027945078,0.0006484770304045267,0.9888155335673282,0.0005400745276838981,0.02414406922717956,0.001187985582702643
128,0.3,0.296875,38,uncorrelated,120,1.0046236944042228,0.00024299234883167644,1.000122040003755,6.439225284118046e-06,0.9999735121887827,0.00014532019443849438,1.000270567818727,0.00013631865981591265,-0.000297055629944192,0.0002814882188693839
128,0.35,0.3515625,45,correlated,120,1.032951711897654,0.0017514837708447113,1.0007480043266361,4.037059013468274e-05,1.0119970027587335,0.0005657578476680556,0.9894990058945387,0.0004892252759788453,0.022497996864194802,0.0010546693735563985
128,0.35,0.3515625,45,uncorrelated,120,1.005996778470803,0.0003315668395608393,1.0001337944348683,7.435553928387859e-06,1.0001626478708903,0.00015307446139959947,1.0001049409988463,0.00014165586673357946,5.770687204405637e-05,0.0002945763072223397
128,0.4,0.3984375,51,correlated,120,1.04370385931226,0.0028838039177418347,1.000884757661869,6.045975027270225e-05,1.0136757774766396,0.000708301891386522,0.9880937378470985,0.0005948079102552847,0.02558203962954116,0.001302441750434858
128,0.4,0.3984375,51,uncorrelated,120,1.0062085871939812,0.0002551655748090881,1.0001221818971788,5.039118245705389e-06,1.0000170666290211,0.00013935310787904548,1.000227297165336,0.00013245583255668428,-0.0002102305363149611,0.0002717095906604876
128,0.45,0.453125,58,correlated,120,1.0447069331448036,0.0021503056977752928,1.0007923779701557,3.909567830381681e-05,1.013399288912877,0.0005504665892457017,0.9881854670274349,0.0004772287973313341,0.0252138218854419,0.0010273303721335574
128,0.45,0.453125,58,uncorrelated,120,1.0067609935209112,0.00032319390340709484,1.0001170613319417,5.630834666790734e-06,0.9999706589048128,0.00016354776219183138,1.0002634637590706,0.0001542987670723539,-0.0002928048542578406,0.00031778158360708974
128,0.5,0.5,64,correlated,120,1.051457948321716,0.002995962853808771,1.000832566147327,5.0087894357352415e-05,1.0141573012054432,0.0006748123008416507,0.9875078310892107,0.0005776749777601325,0.026649470116232407,0.001252247920321743
128,0.5,0.5,64,uncorrelated,120,1.0077694246920883,0.0002602765605629236,1.0001219233996095,4.104987396764831e-06,1.000232979647966,0.00013156916786823407,1.0000108671512524,0.00012556190593675473,0.0002221124967136399,0.00025707017062644513
128,0.55,0.546875,70,correlated,120,1.0568050593976241,0.003102969025796858,1.0008422442225735,4.759237069111796e-05,1.0144580324083672,0.0006951681264962659,0.9872264560367798,0.0006038904228162416,0.027231576371587417,0.001298778117593229
