N,nominal_load,actual_load,P,generator,corr,lambda_interference,randers_alpha,randers_mode,n_reps,deltaF_int_mean,deltaF_int_sem,deltaF_int_ci95_lo,deltaF_int_ci95_hi,deltaF_int_frac_positive,deltaF_cum_mean,deltaF_cum_sem,deltaF_cum_ci95_lo,deltaF_cum_ci95_hi,deltaF_cum_frac_positive,delta_randers_asym_mean,delta_randers_asym_sem,delta_randers_asym_ci95_lo,delta_randers_asym_ci95_hi,delta_randers_asym_frac_positive,mean_pair_overlap_uncorr_mean,mean_pair_overlap_uncorr_sem,mean_pair_overlap_uncorr_ci95_lo,mean_pair_overlap_uncorr_ci95_hi,mean_pair_overlap_uncorr_frac_positive,mean_pair_overlap_corr_mean,mean_pair_overlap_corr_sem,mean_pair_overlap_corr_ci95_lo,mean_pair_overlap_corr_ci95_hi,mean_pair_overlap_corr_frac_positive,cost_uncorr_int_mean,cost_uncorr_int_sem,cost_uncorr_int_ci95_lo,cost_uncorr_int_ci95_hi,cost_uncorr_int_frac_positive,cost_corr_int_mean,cost_corr_int_sem,cost_corr_int_ci95_lo,cost_corr_int_ci95_hi,cost_corr_int_frac_positive,cost_uncorr_cum_mean,cost_uncorr_cum_sem,cost_uncorr_cum_ci95_lo,cost_uncorr_cum_ci95_hi,cost_uncorr_cum_frac_positive,cost_corr_cum_mean,cost_corr_cum_sem,cost_corr_cum_ci95_lo,cost_corr_cum_ci95_hi,cost_corr_cum_frac_positive,randers_uncorr_asym_mean,randers_uncorr_asym_sem,randers_uncorr_asym_ci95_lo,randers_uncorr_asym_ci95_hi,randers_uncorr_asym_frac_positive,randers_corr_asym_mean,randers_corr_asym_sem,randers_corr_asym_ci95_lo,randers_corr_asym_ci95_hi,randers_corr_asym_frac_positive
64,0.1,0.09375,6,biased,0.15,0.5,0.15,mean,80,6.485547267351399e-06,2.4134193573411392e-05,-3.7282019828146496e-05,5.041272094057246e-05,0.525,3.868918064696692e-05,0.00014446435891206862,-0.0002481687258012431,0.0003259763831006714,0.525,-0.00027114985611092265,0.0009455255031237506,-0.002055487099050637,0.001579191526045299,0.4,0.098515625,0.002030309459165776,0.09441080729166666,0.10286588541666668,1.0,0.10473958333333333,0.002297764410952175,0.10057031250000001,0.10950911458333332,1.0,1.0001147246133488,1.4618165926607282e-05,1.0000899317649998,1.000144568902059,1.0,1.000121210160616,1.9629000472051412e-05,1.0000889122514267,1.0001624737333923,1.0,1.0006878982976806,8.75706304168352e-05,1.0005342823999275,1.0008614272686907,1.0,1.0007265874783275,0.00011745313573041407,1.0005361163618252,1.0009730454680026,1.0,0.0003027260929047696,0.0005954302562108831,-0.000820752514591663,0.001428453481397827,0.475,3.15762367938469e-05,0.0006745679203634775,-0.0012271444719346035,0.0013637204892070311,0.45
64,0.1,0.09375,6,biased,0.15,0.5,0.15,pc1,80,1.3181888197547064e-05,2.1693488976760487e-05,-2.836951283407864e-05,5.3533709360773155e-05,0.3625,7.885863112092606e-05,0.00012996604743877163,-0.00016519989827014754,0.0003183419216871322,0.3625,0.0005422969358009778,0.0009498752505132043,-0.0013237816087988924,0.0023876676177234245,0.5875,0.10002604166666666,0.0019657948758709607,0.09630208333333333,0.10378971354166668,1.0,0.10078125,0.0022409934477422033,0.09626236979166666,0.10530013020833333,1.0,1.0001051223344741,1.1982019593588784e-05,1.000083877496739,1.0001276881723105,1.0,1.0001183042226718,1.7425140668414854e-05,1.0000892477787788,1.0001551546163658,1.0,1.0006303987858196,7.181157362128087e-05,1.0004960546524564,1.0007640114730263,1.0,1.0007092574169405,0.00010437824811143271,1.0005249673535161,1.0008981629440392,1.0,-0.0006105350513762499,0.0006430455740634645,-0.0018479445680413596,0.0004970555528059752,0.425,-6.823811557527191e-05,0.00068681657300174,-0.0013782241484781724,0.001404539873463578,0.5375
64,0.1,0.09375,6,biased,0.15,0.5,0.15,random-fixed,80,-5.0856397353593594e-05,4.053441746083769e-05,-0.00014446845178049949,1.921753730640814e-05,0.4875,-0.00030373642216625083,0.0002423000663670544,-0.0008179430183872326,0.0001230239608083386,0.4875,0.0007340237471423369,0.0010807443355093827,-0.0012212566191517466,0.002577880062808974,0.4625,0.09841145833333334,0.002218469168034778,0.09408593750000001,0.10290429687499998,1.0,0.10104166666666667,0.0020016283148200044,0.09716145833333334,0.10455859375,1.0,1.0001715378058555,3.584162852827849e-05,1.000111727474788,1.0002396389630648,1.0,1.000120681408502,1.6636409858537752e-05,1.0000930822360772,1.00015633768461,1.0,1.0010272802783473,0.00021415926608078952,1.0006593684423946,1.0014840982930517,1.0,1.000723543856181,9.963522161384802e-05,1.000546018072336,1.0009308443370826,1.0,-0.0003147252413624168,0.0006747679808595593,-0.0015738936877489633,0.0008582484673112647,0.475,0.00041929850577992025,0.0007689441492203612,-0.0009202888720965444,0.0021779715238873136,0.5125
64,0.1,0.09375,6,biased,0.15,1.0,0.15,mean,80,2.227803274092999e-05,4.17185904039784e-05,-6.111130913660009e-05,9.945738214666926e-05,0.55,0.00013340685728911728,0.00024959805212630297,-0.00037106699331352125,0.0006355894420931459,0.55,0.0010071791171124343,0.0010174211357081076,-0.0010102728816179956,0.0029464907892896436,0.55,0.09890625,0.002050095821553038,0.09489583333333333,0.10273567708333334,1.0,0.10169270833333335,0.002008168639266458,0.09779752604166667,0.10536588541666665,1.0,1.0002148384603113,3.0332484344647285e-05,1.000159908081024,1.0002823931113032,1.0,1.0002371164930526,3.18430338242688e-05,1.0001827878332448,1.0003024565931877,1.0,1.0012872579425836,0.00018147243062454946,1.0009464189899508,1.0016601275372452,1.0,1.0014206647998727,0.00019053554623108652,1.0010969181967346,1.0017728403821473,1.0,-0.0006841520244579703,0.0006559470604393837,-0.0020344783257287597,0.0007129714554067583,0.325,0.0003230270926544641,0.00076764896947299,-0.0009990253081501156,0.0018503822122520994,0.4125
64,0.1,0.09375,6,biased,0.15,1.0,0.15,pc1,80,-9.685683494547458e-05,8.056253726314269e-05,-0.0002496905583295353,4.489553830795222e-05,0.475,-0.0005755381401478272,0.00047928630348103944,-0.0017563477413589763,0.0002618273641036416,0.475,-8.128354336868481e-08,0.0010909259463592394,-0.0019439141169339243,0.001996815604241337,0.55,0.09994791666666666,0.0021225136313443587,0.09588541666666668,0.104375,1.0,0.09669270833333334,0.0023060340733184605,0.092095703125,0.10111002604166666,1.0,1.0003221441126418,7.260622032145391e-05,1.0002032727185952,1.0004629377154488,1.0,1.0002252872776962,3.309718195240859e-05,1.0001696794126609,1.000296239086194,1.0,1.0019252172475046,0.00043150934091888297,1.0011879936002614,1.0027689421263755,1.0,1.0013496791073568,0.00019781210926603476,1.0010137663076129,1.0017474764432637,1.0,0.0008607392100457012,0.0008794530532348799,-0.000705364561839156,0.002413662549687379,0.5,0.0008606579265023325,0.0006682385735093924,-0.00038968491247623525,0.002157589286991159,0.5625
64,0.1,0.09375,6,biased,0.15,1.0,0.15,random-fixed,80,0.00010222873540924882,7.027621452871123e-05,-1.566407229820384e-05,0.0002503658239644277,0.5625,0.0006083066368649554,0.0004178186704271171,-0.00012163811954471221,0.0015641031113534521,0.5625,0.00019587958385956444,0.0011097957071253724,-0.002180098601396279,0.0022340950492194043,0.5625,0.10177083333333332,0.0023046656169251212,0.097119140625,0.10627734374999999,1.0,0.09997395833333332,0.0022197844148544935,0.095818359375,0.10448046874999999,1.0,1.000232981154527,2.633130810380529e-05,1.0001895548321365,1.0002859390199192,1.0,1.0003352098899365,6.589207323683763e-05,1.0002258973380183,1.000474030593304,1.0,1.0013962581062597,0.0001576098585352469,1.0011269490109609,1.0017141460053718,1.0,1.0020045647431246,0.00039141263092912996,1.0014155305876369,1.0027625382693386,1.0,0.00012809471658897187,0.0007365040636570153,-0.001261578779697742,0.0013455848266372594,0.55,0.0003239743004485361,0.000760358672618304,-0.0011605079574133,0.0017209821638628803,0.5625
64,0.1,0.09375,6,biased,0.15,2.0,0.15,mean,80,-3.535589725273125e-05,0.00013967550403921856,-0.00029866040983378775,0.0002154384662053313,0.5375,-0.00020797042994293857,0.0008298348272859478,-0.0018685957723990083,0.0013938026932482693,0.5375,0.0006927747948376204,0.0011384869575763452,-0.001541610278112419,0.0028904204068674207,0.575,0.09932291666666666,0.0022405030738256266,0.09503841145833333,0.10341536458333334,1.0,0.10414062500000001,0.0022238026939383213,0.09977408854166667,0.10823437500000001,1.0,1.0006164950683982,0.00010139681804125311,1.0004416618441005,1.0008487119598508,1.0,1.0005811391711457,8.489440013942262e-05,1.0004395419954086,1.000771801181867,1.0,1.0036814498894884,0.0006021239695914168,1.0026594699358995,1.0048876550169974,1.0,1.0034734794595457,0.0005042673287689537,1.0025867587166775,1.004489283187461,1.0,0.0003638308266228383,0.0008331495724776642,-0.0012419769513611777,0.0020489005040923575,0.4125,0.0010566056214604586,0.0006612483436539322,-9.456729239139466e-05,0.0023712059442239494,0.5375
64,0.1,0.09375,6,biased,0.15,2.0,0.15,pc1,80,0.00011467777081262953,0.00013272982858921422,-0.0001291825217213631,0.0003823748596534584,0.4875,0.0006789144197928615,0.0007885018973551361,-0.0008047822017208267,0.0022273006409430397,0.4875,-0.00012730969470461386,0.0011057323639343758,-0.002045868729744355,0.001893505034685104,0.4375,0.09802083333333332,0.0018182108488644187,0.09454361979166667,0.10130468749999999,1.0,0.10466145833333333,0.002184151970599625,0.10033854166666667,0.10895833333333334,1.0,1.0004290232415485,7.12805591544065e-05,1.0002955263446331,1.0005793599021535,1.0,1.0005437010123612,0.00010785560095550817,1.0003611967190251,1.0007820073758973,1.0,1.0025654902980567,0.00042440252629395025,1.0019175468729113,1.0034696212806682,1.0,1.0032444047178495,0.0006400571290160188,1.0021467476847707,1.0046532946651268,1.0,0.0008608895807948186,0.0006483436032811066,-0.0004850826079510959,0.0021487537555995207,0.475,0.0007335798860902045,0.0007914264966185271,-0.0008274730237764255,0.0024508338992135894,0.5125
64,0.1,0.09375,6,biased,0.15,2.0,0.15,random-fixed,80,0.00013102709241081533,0.0001354328935085757,-0.00015191749972671205,0.00036117266032528094,0.6125,0.0007892675209143524,0.000802352891250848,-0.0008964742506048283,0.002255569505316948,0.6125,-0.0004723769860046626,0.0011389325851899174,-0.0027378955375813806,0.001848616685848329,0.5,0.10044270833333332,0.0019915480439700044,0.09673111979166667,0.10428580729166667,1.0,0.09791666666666668,0.0020467516114397177,0.09374739583333333,0.10181315104166667,1.0,1.0004259278553531,0.00010320195140879943,1.0002687764588778,1.0006795055349227,1.0,1.0005569549477642,7.80838441338755e-05,1.0004109758663482,1.0007397259823936,1.0,1.002540748441834,0.0006092002417959492,1.0016383713868742,1.0039641010745395,1.0,1.0033300159627483,0.00046510721984068453,1.0025006003385002,1.0043252132897247,1.0,0.0005748810669127758,0.00081670730880681,-0.0008097090131845383,0.002138857433550882,0.5875,0.00010250408090811307,0.0007675620572490976,-0.00149887754117609,0.0015338183649021087,0.5625
64,0.1,0.09375,6,biased,0.15,4.0,0.15,mean,80,-9.120003775570096e-05,0.00025230018865450625,-0.0005808622481686395,0.00038685399136112914,0.5375,-0.0005292381507752241,0.0014857196517381944,-0.0034963467177743313,0.00209218940623625,0.5375,0.0006473023089664,0.0011008962894528114,-0.0016181579353382503,0.0028670510301949067,0.575,0.10018229166666667,0.0024748187211409384,0.09546744791666666,0.105119140625,1.0,0.10065104166666668,0.002260891406693671,0.09630208333333332,0.10458854166666667,1.0,1.0011230289925617,0.00019348169506514635,1.0007995226749762,1.001538238128233,1.0,1.001031828954806,0.00015390781461095096,1.0007557234232254,1.0013282410482192,1.0,1.0066774409045252,0.00113733709757801,1.0045575414354673,1.0089101608724913,1.0,1.0061482027537498,0.0009095659607978091,1.0045901900729002,1.0080162695263817,1.0,-0.00023660153734115702,0.0007521079809687439,-0.0016723392050502777,0.0013313732470326542,0.4375,0.0004107007716252431,0.0006781596805972063,-0.0008845775555855281,0.0018314706984397468,0.475
