N,nominal_load,actual_load,P,generator,corr,condition,rep,mean_pair_overlap_abs,mean_q2,mean_cost_int,mean_cost_cum
128,0.05,0.046875,6,latent,0.15,correlated,14,0.065625,0.00015891164594829192,1.0001588889827269,1.000793992416971
128,0.05,0.046875,6,latent,0.15,uncorrelated,14,0.0875,5.318448136896274e-05,1.000053182620216,1.0002658758929548
128,0.05,0.046875,6,latent,0.15,correlated,15,0.053125,5.200986964473929e-05,1.0000520083951023,1.0002600124936312
128,0.05,0.046875,6,latent,0.15,uncorrelated,15,0.03958333333333333,6.093449686899374e-05,1.0000609324037844,1.000304620173097
128,0.05,0.046875,6,latent,0.15,correlated,16,0.06354166666666666,4.1498911122822244e-05,1.00004149797578,1.0002074711765978
128,0.05,0.046875,6,latent,0.15,uncorrelated,16,0.07916666666666666,0.00013514089528179058,1.0001351267517875,1.0006753512439783
128,0.05,0.046875,6,latent,0.15,correlated,17,0.06354166666666666,0.00031739946292392586,1.0003172832702492,1.0015841019851295
128,0.05,0.046875,6,latent,0.15,uncorrelated,17,0.10729166666666666,0.0006289985236220472,1.0006284879154341,1.0031323152960117
128,0.05,0.046875,6,latent,0.15,correlated,18,0.059375,7.215990994481989e-05,1.0000721566024973,1.000360716899078
128,0.05,0.046875,6,latent,0.15,uncorrelated,18,0.06979166666666667,7.835992234484469e-05,1.0000783559649593,1.0003917007254708
128,0.05,0.046875,6,latent,0.15,correlated,19,0.06458333333333334,8.883455266910536e-05,1.0000888296009858,1.0004440490310287
128,0.05,0.046875,6,latent,0.15,uncorrelated,19,0.08020833333333334,0.00019112264787029577,1.0001910969827132,1.0009549724294964
128,0.05,0.046875,6,latent,0.15,correlated,20,0.059375,4.479266771033542e-05,1.0000447915364978,1.0002239350645048
128,0.05,0.046875,6,latent,0.15,uncorrelated,20,0.07083333333333333,0.00022135981771963543,1.0002213102542032,1.00110556257842
128,0.05,0.046875,6,latent,0.15,correlated,21,0.08645833333333333,4.038484639469279e-05,1.0000403835273801,1.0002018912672634
128,0.05,0.046875,6,latent,0.15,uncorrelated,21,0.08645833333333333,0.00046334194230888466,1.0004631422365302,1.0023117375203385
128,0.05,0.046875,6,latent,0.15,correlated,22,0.08541666666666667,0.00012274087048174098,1.0001227308640617,1.0006134543892304
128,0.05,0.046875,6,latent,0.15,uncorrelated,22,0.06145833333333333,3.355514523529047e-05,1.0000335545234427,1.0001677601837577
128,0.05,0.046875,6,latent,0.15,correlated,23,0.10729166666666666,0.0005347873976997953,1.000534492969984,1.0026666123709846
128,0.05,0.046875,6,latent,0.15,uncorrelated,23,0.06979166666666667,9.729902272304544e-05,1.0000972935788877,1.0004863590827793
128,0.05,0.046875,6,latent,0.15,correlated,24,0.0625,7.159076818153636e-05,1.0000715873211459,1.000357867704025
128,0.05,0.046875,6,latent,0.15,uncorrelated,24,0.07916666666666666,5.4250108500217e-05,1.000054248271173,1.0002712046235136
128,0.05,0.046875,6,latent,0.15,correlated,25,0.084375,0.000188942956010912,1.0001889030890112,1.0009437200038624
128,0.05,0.046875,6,latent,0.15,uncorrelated,25,0.08125,0.00020489103478206957,1.0002048627001905,1.0010237477647939
128,0.05,0.046875,6,latent,0.15,correlated,26,0.06354166666666666,5.738644289788578e-05,1.0000573839442712,1.0002868697753589
128,0.05,0.046875,6,latent,0.15,uncorrelated,26,0.046875,3.8786405697811396e-05,1.0000387856177262,1.0001939123325074
128,0.05,0.046875,6,latent,0.15,correlated,27,0.08645833333333333,0.00016801791416082835,1.000167996046671,1.000839543584538
128,0.05,0.046875,6,latent,0.15,uncorrelated,27,0.05625,5.221572943145886e-05,1.0000522143344515,1.0002610437802664
128,0.05,0.046875,6,latent,0.15,correlated,28,0.065625,4.091765996031992e-05,1.0000409165083874,1.0002045595181817
128,0.05,0.046875,6,latent,0.15,uncorrelated,28,0.06354166666666666,7.002865568231137e-05,1.0000700254586583,1.0003500633869131
128,0.05,0.046875,6,latent,0.15,correlated,29,0.05,3.284069068138136e-05,1.0000328401134733,1.0001641890253363
128,0.05,0.046875,6,latent,0.15,uncorrelated,29,0.0875,0.0001837722425444851,1.0001837477329485,1.0009182492373199
128,0.05,0.046875,6,latent,0.15,correlated,30,0.07604166666666666,0.00018526169864839734,1.0001852394103068,1.0009257518500612
