N,nominal_load,actual_load,P,deltaF_cum_mean,deltaF_cum_sem,deltaF_int_mean,deltaF_int_sem,delta_randers_asymmetry_mean,delta_randers_asymmetry_sem,corr_cost_int_mean,uncorr_cost_int_mean,corr_cost_cum_mean,uncorr_cost_cum_mean,corr_randers_asymmetry_mean,uncorr_randers_asymmetry_mean
64,0.55,0.546875,35,0.04608206704915463,0.004039206208347919,0.0013932153179563311,0.00012499743986493902,0.025229692608832458,0.001681369672151893,1.0019295956130518,1.0005363802950955,1.0646312816203083,1.0185492145711537,0.02609330401645306,0.0008636114076206014
64,0.6,0.59375,38,0.039637823661272664,0.0038848148691341703,0.0011009110003816769,0.0001104105289553594,0.022154439360074062,0.0016739162998627966,1.0015712871420015,1.0004703761416198,1.0573019866998332,1.0176641630385606,0.021919397409487888,-0.00023504195058617338
128,0.05,0.046875,6,0.00334115478667818,0.00038627795890487903,0.0005591038522188008,6.484921740829478e-05,0.009594569893257942,0.0007213816376373042,1.00067218258503,1.0001130787328112,1.0040192164545418,1.0006780616678637,0.009685265993642781,9.069610038483963e-05
128,0.1,0.1015625,13,0.011416471391077376,0.0010251644509712624,0.0008883878230907527,8.041897005112774e-05,0.017344398727662982,0.0010207601440297962,1.001018177754625,1.0001297899315342,1.0131010657567379,1.0016845943656605,0.017314249965329088,-3.0148762333895297e-05
128,0.15,0.1484375,19,0.013539101839588508,0.0010593903988390066,0.0007217270554222832,5.6978059149198305e-05,0.017880355743988427,0.0009044533509795911,1.0008280010746387,1.0001062740192164,1.0155554118255992,1.0020163099860107,0.017440258017193504,-0.00044009772679492375
128,0.2,0.203125,26,0.020493396543549425,0.001547908008368941,0.000803323324169547,6.167923375603482e-05,0.021660370944454912,0.001117907093661007,1.0009190967527295,1.00011577342856,1.02349696740129,1.0030035708577405,0.021344064590591662,-0.0003163063538632484
128,0.25,0.25,32,0.020408692119725735,0.0014690907354037478,0.0006502352176929183,4.7315433723750325e-05,0.020217767043648548,0.0010047192197722625,1.0007770847071202,1.0001268494894273,1.0244565498400642,1.0040478577203384,0.020403658878228,0.00018589183457945192
128,0.3,0.296875,38,0.028327891253172144,0.002086311078881506,0.0007655281771630218,5.758041900294473e-05,0.024441124857123752,0.0012208789301448347,1.000887568180918,1.000122040003755,1.032951585657395,1.0046236944042228,0.02414406922717956,-0.000297055629944192
128,0.35,0.3515625,45,0.026954933426850847,0.001782591363332823,0.0006142098917678585,4.104962862249192e-05,0.022440289992150746,0.0010950354735325227,1.0007480043266361,1.0001337944348683,1.032951711897654,1.005996778470803,0.022497996864194802,5.770687204405637e-05
128,0.4,0.3984375,51,0.037495272118278855,0.0028950707256560773,0.0007625757646900766,6.066938367687379e-05,0.02579227016585612,0.0013304813470818397,1.000884757661869,1.0001221818971788,1.04370385931226,1.0062085871939812,0.02558203962954116,-0.0002102305363149611
128,0.45,0.453125,58,0.037945939623892366,0.002174458298768777,0.0006753166382140741,3.9499093167821774e-05,0.025506626739699743,0.0010753570701808322,1.0007923779701557,1.0001170613319417,1.0447069331448036,1.0067609935209112,0.0252138218854419,-0.0002928048542578406
128,0.5,0.5,64,0.04368852362962761,0.003007247463941147,0.0007106427477174826,5.025582635556691e-05,0.026427357619518768,0.0012783622047667243,1.000832566147327,1.0001219233996095,1.051457948321716,1.0077694246920883,0.026649470116232407,0.0002221124967136399
128,0.55,0.546875,70,0.047763835372931274,0.003124181225452818,0.0007123977876681842,4.78810472433467e-05,0.02670028600903654,0.001341157943834324,1.0008422442225735,1.0001298464349053,1.0568050593976241,1.0090412240246929,0.027231576371587417,0.0005312903625508772
128,0.6,0.6015625,77,0.059631005938707515,0.00369722453267665,0.0008143287244477548,5.2354071601407875e-05,0.03070831385392575,0.0013384596853217323,1.0009326185226881,1.0001182897982404,1.0686919277032663,1.0090609217645587,0.030488636133428077,-0.00021967772049767315
