N,nominal_load,actual_load,P,generator,corr,cue_noise,deltaF_int,deltaF_cum,retrieval_degradation,failure_probability_increase,corr_final_overlap_mean,uncorr_final_overlap_mean,corr_success_mean,uncorr_success_mean,corr_spearman_cost_error,uncorr_spearman_cost_error
128,0.05,0.046875,6,block,0.15,0.05,3.415751032220804e-05,0.00017055199112059327,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
128,0.05,0.046875,6,block,0.15,0.1,3.415751032220804e-05,0.00017055199112059327,7.812500000003997e-05,0.0,0.999921875,1.0,1.0,1.0,0.06829505321533849,nan
128,0.05,0.046875,6,block,0.15,0.15,3.415751032220804e-05,0.00017055199112059327,0.0009375000000000355,0.0033333333333332993,0.9990625,1.0,0.9966666666666667,1.0,0.08515703092475352,nan
128,0.05,0.046875,6,block,0.15,0.2,3.415751032220804e-05,0.00017055199112059327,0.0014322916666666963,0.0050000000000000044,0.9985677083333333,1.0,0.995,1.0,0.17660729256790633,nan
128,0.05,0.046875,6,block,0.25,0.05,0.0001133422372281423,0.0005654360951947712,0.0009114583333332815,0.0033333333333332993,0.9990885416666667,1.0,0.9966666666666667,1.0,0.20147304759109955,nan
128,0.05,0.046875,6,block,0.25,0.1,0.0001133422372281423,0.0005654360951947712,0.00028645833333329485,0.0,0.9997135416666667,1.0,1.0,1.0,0.1521138398233129,nan
128,0.05,0.046875,6,block,0.25,0.15,0.0001133422372281423,0.0005654360951947712,0.004453124999999947,0.01666666666666672,0.995546875,1.0,0.9833333333333333,1.0,0.21436758651169668,nan
128,0.05,0.046875,6,block,0.25,0.2,0.0001133422372281423,0.0005654360951947712,0.005859375,0.025000000000000022,0.994140625,1.0,0.975,1.0,0.21328526784257187,nan
128,0.05,0.046875,6,block,0.35,0.05,0.0007358893485414075,0.003659959575735394,0.0234375,0.06999999999999995,0.9765625,1.0,0.93,1.0,0.4346879368446243,nan
128,0.05,0.046875,6,block,0.35,0.1,0.0007358893485414075,0.003659959575735394,0.03481770833333331,0.09833333333333338,0.9651822916666667,1.0,0.9016666666666666,1.0,0.46395373380390154,nan
128,0.05,0.046875,6,block,0.35,0.15,0.0007358893485414075,0.003659959575735394,0.03255208333333337,0.09833333333333338,0.9674479166666666,1.0,0.9016666666666666,1.0,0.4245452172151657,nan
128,0.05,0.046875,6,block,0.35,0.2,0.0007358893485414075,0.003659959575735394,0.05109375000000005,0.15500000000000003,0.948125,0.99921875,0.84,0.995,0.4658758622284542,0.056581676676713426
128,0.05,0.046875,6,block,0.45,0.05,0.002770668677968713,0.013724802721515772,0.2515625,0.6616666666666666,0.7484375,1.0,0.3383333333333333,1.0,0.44528741606584954,nan
128,0.05,0.046875,6,block,0.45,0.1,0.002770668677968713,0.013724802721515772,0.26140624999999995,0.6866666666666666,0.73859375,1.0,0.31333333333333335,1.0,0.38915252090432517,nan
128,0.05,0.046875,6,block,0.45,0.15,0.002770668677968713,0.013724802721515772,0.262109375,0.7033333333333334,0.737890625,1.0,0.2966666666666667,1.0,0.38943622027847236,nan
128,0.05,0.046875,6,block,0.45,0.2,0.002770668677968713,0.013724802721515772,0.2679166666666667,0.6783333333333333,0.7315364583333334,0.999453125,0.31833333333333336,0.9966666666666667,0.37568726510802064,0.012459305127253646
128,0.05,0.046875,6,latent,0.15,0.05,-1.1241783122173388e-06,-5.4905752935319185e-06,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
128,0.05,0.046875,6,latent,0.15,0.1,-1.1241783122173388e-06,-5.4905752935319185e-06,7.812500000003997e-05,0.0,0.999921875,1.0,1.0,1.0,0.06487393431754607,nan
128,0.05,0.046875,6,latent,0.15,0.15,-1.1241783122173388e-06,-5.4905752935319185e-06,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
128,0.05,0.046875,6,latent,0.15,0.2,-1.1241783122173388e-06,-5.4905752935319185e-06,0.0004166666666666208,0.0016666666666667052,0.9995833333333334,1.0,0.9983333333333333,1.0,0.043052664790191174,nan
128,0.05,0.046875,6,latent,0.25,0.05,0.00016427844991362406,0.0008193707840360442,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
128,0.05,0.046875,6,latent,0.25,0.1,0.00016427844991362406,0.0008193707840360442,0.0007552083333333126,0.0050000000000000044,0.9992447916666667,1.0,0.995,1.0,0.10080552455121877,nan
128,0.05,0.046875,6,latent,0.25,0.15,0.00016427844991362406,0.0008193707840360442,0.0009635416666666785,0.0033333333333332993,0.9990364583333333,1.0,0.9966666666666667,1.0,0.1257933304691739,nan
128,0.05,0.046875,6,latent,0.25,0.2,0.00016427844991362406,0.0008193707840360442,0.0011718750000000444,0.0050000000000000044,0.9978385416666666,0.9990104166666667,0.9916666666666667,0.9966666666666667,0.1957409992839285,0.050375181697103026
128,0.05,0.046875,6,latent,0.35,0.05,0.000762804617154389,0.0038000549933250305,0.023307291666666674,0.07666666666666666,0.9766927083333333,1.0,0.9233333333333333,1.0,0.5173138589916609,nan
128,0.05,0.046875,6,latent,0.35,0.1,0.000762804617154389,0.0038000549933250305,0.028593749999999973,0.09499999999999997,0.97140625,1.0,0.905,1.0,0.4814357083504098,nan
128,0.05,0.046875,6,latent,0.35,0.15,0.000762804617154389,0.0038000549933250305,0.04518229166666665,0.15166666666666662,0.9548177083333333,1.0,0.8483333333333334,1.0,0.4552866752135342,nan
128,0.05,0.046875,6,latent,0.35,0.2,0.000762804617154389,0.0038000549933250305,0.05044270833333331,0.17166666666666675,0.948984375,0.9994270833333333,0.825,0.9966666666666667,0.3831237342083181,0.08364254029938734
128,0.05,0.046875,6,latent,0.45,0.05,0.002880481735439755,0.014264317300536788,0.2398958333333333,0.6216666666666666,0.7601041666666667,1.0,0.37833333333333335,1.0,0.4898759912983465,nan
128,0.05,0.046875,6,latent,0.45,0.1,0.002880481735439755,0.014264317300536788,0.2523958333333334,0.6466666666666667,0.7476041666666666,1.0,0.35333333333333333,1.0,0.42756155672072027,nan
128,0.05,0.046875,6,latent,0.45,0.15,0.002880481735439755,0.014264317300536788,0.25335937500000005,0.6633333333333333,0.746640625,1.0,0.33666666666666667,1.0,0.3786372886305553,nan
