N,nominal_load,actual_load,P,generator,corr,condition,mean_pair_overlap_abs_mean,mean_pair_overlap_abs_sem,n_realizations,mean_q2_mean,mean_q2_sem,mean_cost_int_mean,mean_cost_int_sem,mean_cost_cum_mean,mean_cost_cum_sem
128,0.05,0.046875,6,block,0.15,correlated,0.073,0.0022618734333670018,50,0.00013711521173042344,1.837299556456831e-05,1.0001370846223334,1.8365385883436744e-05,1.0006848136482263,9.167548435349598e-05
128,0.05,0.046875,6,block,0.15,uncorrelated,0.06924999999999999,0.0015536854546733365,50,0.00010294587776675553,1.3146172774242866e-05,1.0001029271120112,1.314012138496445e-05,1.0005142616571057,6.55802482231629e-05
128,0.05,0.046875,6,block,0.25,correlated,0.08816666666666667,0.003201827709336045,50,0.00023003596007192015,3.113023382765285e-05,1.0002299540343855,3.110613113346763e-05,1.0011481418990618,0.00015505304262887173
128,0.05,0.046875,6,block,0.25,uncorrelated,0.07333333333333333,0.0018848945278058349,50,0.00011662949888399776,1.2194520171587695e-05,1.0001166117971574,1.2190997028067135e-05,1.000582705803867,6.088473823390874e-05
128,0.05,0.046875,6,block,0.35,correlated,0.12727083333333333,0.004204619876059451,50,0.0008457177773730547,0.00010317788858051369,1.0008447029923457,0.00010293406204184384,1.004203628437978,0.000509929525237622
128,0.05,0.046875,6,block,0.35,uncorrelated,0.06952083333333332,0.0020442355940136154,50,0.00010883370985491971,1.3752365602156769e-05,1.0001088136438043,1.3743933067838998e-05,1.0005436688622427,6.855237133040797e-05
128,0.05,0.046875,6,block,0.45,correlated,0.20231250000000003,0.004517960073173413,50,0.0028878100490575985,0.00020891760520377794,1.0028811680903091,0.0002080702937803723,1.0142768073206592,0.0010240515743272847
128,0.05,0.046875,6,block,0.45,uncorrelated,0.0701875,0.0017607103617265267,50,0.00011052418198586397,1.7080388378389615e-05,1.0001104994123404,1.706777854612555e-05,1.0005520045991434,8.508884020421967e-05
128,0.05,0.046875,6,latent,0.15,correlated,0.07270833333333333,0.001898940135827294,50,0.00014995117490234982,1.7540766156693008e-05,1.0001499161975191,1.7531702605749807e-05,1.0007488844219448,8.747829857525163e-05
128,0.05,0.046875,6,latent,0.15,uncorrelated,0.07439583333333334,0.001918452011583375,50,0.0001510819506014012,1.9172202361031613e-05,1.0001510403758314,1.9159504707140383e-05,1.0007543749972383,9.554557584454923e-05
128,0.05,0.046875,6,latent,0.25,correlated,0.08595833333333332,0.002463998142871168,50,0.000274064282503565,3.659701998789035e-05,1.0002739452235323,3.656905822354459e-05,1.0013673604538005,0.00018229052958491853
128,0.05,0.046875,6,latent,0.25,uncorrelated,0.070875,0.0017980624650211442,50,0.00010968403186806375,1.0684103605692755e-05,1.0001096667736187,1.0680198327508805e-05,1.0005479896697644,5.3323209967808844e-05
