N,load,actual_load,P,generator,corr,lambda_interference,randers_alpha,randers_mode,rep,cost_uncorr_int,cost_corr_int,deltaF_int,cost_uncorr_cum,cost_corr_cum,deltaF_cum,randers_uncorr_asym,randers_corr_asym,delta_randers_asym,mean_pair_overlap_uncorr,mean_pair_overlap_corr
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,14,1.0002455252567588,1.0003182527977812,7.272754102238821e-05,1.0014722486304954,1.0019080004084395,0.00043575177794408226,0.0115727512471569,0.006107524257766439,-0.005465226989390461,0.1125,0.09166666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,15,1.0000835296352972,1.0007760197452324,0.0006924901099352176,1.0005010732062067,1.0046471271957456,0.004146053989538823,0.0011043485147425025,0.021759737863651558,0.020655389348909054,0.08958333333333333,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,16,1.0000368654365146,1.0003123495192578,0.0002754840827432492,1.0002211722376912,1.0018726364186386,0.001651464180947304,-0.0020902257264790495,0.0046573104127506084,0.0067475361392296575,0.07291666666666667,0.0875
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,17,1.0002041985707204,1.000141098282913,-6.310028780731614e-05,1.0012245667336521,1.0008462913191594,-0.0003782754144927569,0.008771413225336316,0.0039442544108035,-0.004827158814532816,0.09166666666666666,0.12291666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,18,1.00006507744438,1.0001654942528315,0.00010041680845152001,1.000390401164969,1.0009925550992227,0.0006021539342537796,0.004798474724961273,0.003888078956798694,-0.0009103957681625787,0.07708333333333334,0.09166666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,19,1.000029689290103,1.0002992309978103,0.0002695417077072104,1.0001781225211668,1.0017940453051555,0.0016159227839886992,-0.0034644975803462385,0.00695125914328811,0.010415756723634349,0.06666666666666667,0.12083333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,20,1.0001864866111194,1.0000374395260028,-0.00014904708511664921,1.0011183985907839,1.0002246161349695,-0.0008937824558143959,0.005828265036405898,-0.006561171971541941,-0.01238943700794784,0.09583333333333334,0.13125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,21,1.0003274766007308,1.0000368654365146,-0.0002906111642162479,1.0019632541437435,1.0002211722376912,-0.0017420819060522952,0.004283147663586271,0.0037388603182088075,-0.0005442873453774637,0.09375,0.10208333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,22,1.0000401459434374,1.0005032455348737,0.0004630995914363112,1.000240851490996,1.0030156857970365,0.00277483430604053,-0.003037059567186636,0.00799780104063413,0.011034860607820766,0.09375,0.11875
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,23,1.0002054695557605,1.0000435084518648,-0.0001619611038956581,1.00123218484803,1.0002610223238213,-0.0009711625242085908,0.001354334764158299,-0.007186491373633263,-0.008540826137791563,0.08958333333333333,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,24,1.000048675211074,1.0000369064429175,-1.1768768156450449e-05,1.0002920157376796,1.0002214182307472,-7.059750693239053e-05,-0.004941724926709983,-0.005847608816890876,-0.0009058838901808931,0.11041666666666666,0.1
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,25,1.0000394488366167,1.0000815204132483,4.207157663160821e-05,1.0002366696820648,1.000489022844554,0.0002523531624891717,-0.006043232738335776,0.0034386515270268844,0.00948188426536266,0.09583333333333334,0.08333333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,26,1.0000604848461712,1.0000322727087436,-2.821213742754125e-05,1.0003628542206868,1.000193620632572,-0.0001692335881149365,0.0022424128572435496,-0.004477122760807426,-0.006719535618050975,0.11875,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,27,1.000038177640575,1.000184477595896,0.00014629995532100537,1.0002290439854753,1.0011063556599042,0.0008773116744289489,0.0013172830864830762,0.006744248771943308,0.005426965685460233,0.11875,0.09375
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,28,1.0002914417942983,1.0004075356375397,0.00011609384324140493,1.0017473789142155,1.0024427286195738,0.0006953497053583391,0.008402261995707956,0.012569924095738417,0.00416766210003046,0.075,0.1125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,29,1.0002106764776104,1.0000237433012087,-0.0001869331764017268,1.0012633939372795,1.0001424513522938,-0.0011209425849856292,0.005622682051468222,-0.005364812356928356,-0.010987494408396577,0.0875,0.12291666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,30,1.0000473630207878,1.000372815480058,0.0003254524592701813,1.0002841444854527,1.0022348126606828,0.0019506681752301525,0.0018234417204177288,0.009952572443659585,0.008129130723241855,0.11041666666666666,0.08541666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,31,1.0000224720852027,1.0000401869497058,1.771486450308224e-05,1.0001348249373208,1.0002410974792122,0.00010627254189143898,-0.003951303898467998,-0.008218796524136658,-0.0042674926256686604,0.08333333333333333,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,32,1.0000532678635168,1.0000243584051476,-2.890945836919734e-05,1.0003195646327219,1.0001461415322102,-0.00017342310051171594,0.0003706246583305495,-0.003714510242579659,-0.004085134900910208,0.07708333333333334,0.075
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,33,1.0000316576096726,1.000035594237189,3.936627516409885e-06,1.0001899306278288,1.000213546422948,2.361579511922507e-05,-0.0004742373282870533,-0.00623617764618336,-0.005761940317896307,0.14166666666666666,0.11666666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,34,1.0000841447024644,1.0000289511692657,-5.519353319871634e-05,1.0005047620634115,1.0001736944452277,-0.00033106761818380015,-0.004394480959444259,-0.0040854054625439375,0.0003090754969003219,0.09166666666666666,0.09583333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,35,1.000050643493275,1.0000460918348062,-4.5516584687987915e-06,1.0003038224998868,1.0002765191507912,-2.7303349095619822e-05,-0.004997325169957473,-0.0038958164350125614,0.0011015087349449115,0.11041666666666666,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,36,1.0000710231875196,1.0002461402243124,0.00017511703679273793,1.000426063492949,1.0014759339104526,0.0010498704175037066,-0.0004969776267696397,0.015174873198210072,0.01567185082497971,0.058333333333333334,0.07291666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,37,1.0000505204757508,1.0000453537260754,-5.166749675433735e-06,1.0003030845813317,1.0002720915104413,-3.0993070890383834e-05,0.0004899136260435156,-0.0030709613431999703,-0.0035608749692434857,0.08333333333333333,0.125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,38,1.0000743035823958,1.0001529478283397,7.864424594394848e-05,1.0004457387159433,1.0009173363961237,0.00047159768018034676,-0.002861688831150764,0.006220830484746587,0.00908251931589735,0.125,0.06666666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,39,1.00002448142589,1.000020462740478,-4.018685411999456e-06,1.0001468795665596,1.0001227701627857,-2.4109403773842075e-05,-0.004753553210447349,-0.001572012304324265,0.0031815409061230846,0.09375,0.11041666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,40,1.0000401869497058,1.000083365617322,4.317866761627265e-05,1.0002410974792122,1.000500089508655,0.000258992029442906,-0.008402261995707956,0.0015720123043242765,0.009974274300032233,0.07916666666666666,0.10625
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,41,1.0000414991494078,1.0000435084518648,2.0093024570844165e-06,1.0002489690701888,1.0002610223238213,1.2053253632515748e-05,-0.004899136260435126,-0.007029390620855251,-0.002130254360420125,0.09166666666666666,0.13125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,42,1.0000407610372872,1.000063068185259,2.2307147971689645e-05,1.0002445413078866,1.0003783494701823,0.00013380816229568993,-0.00849955317809193,-0.0016965522313457458,0.006803000946746184,0.1,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,43,1.000133922884392,1.0000212008675808,-0.0001127220168111176,1.000803268492235,1.0001271984641928,-0.0006760700280421528,0.002689108807223931,0.0006086202937698754,-0.0020804885134540554,0.10416666666666667,0.10625
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,44,1.000043344427326,1.000049946393772,6.601966445973773e-06,1.0002600383901936,1.0002996409542098,3.960256401613904e-05,-0.009674168886479543,-0.004995244887179177,0.004678923999300366,0.09375,0.12916666666666668
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,45,1.0002540117756045,1.0001996066113117,-5.4405164292781194e-05,1.0015231042962276,1.0011970427406092,-0.00032606155561842876,0.004529937544117694,0.0019596545041740522,-0.0025702830399436417,0.15208333333333332,0.1
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,46,1.000090008323799,1.0002139974136095,0.00012398908981059442,1.000539928485906,1.001283298438897,0.0007433699529910687,0.0022960528082038244,-0.000600309743687891,-0.0028963625518917155,0.11875,0.11041666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,47,1.0000296482834041,1.0001097311614455,8.008287804139869e-05,1.0001778765174623,1.0006582064735774,0.00048032995611513307,-0.0055217425737125155,0.0014522779902896893,0.006974020564002205,0.08958333333333333,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,48,1.0000677017767443,1.00003485612071,-3.284565603434153e-05,1.0004061419354244,1.0002091185038358,-0.00019702343158867208,-0.0015761478255885816,0.0016682562394329987,0.0032444040650215803,0.09791666666666667,0.125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,49,1.0000507255049493,1.0000545800460552,3.8545411058521495e-06,1.000304314445288,1.0003274356062393,2.3121160951378172e-05,-0.0008572048380424905,0.0038013038532771367,0.004658508691319627,0.09375,0.09375
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,50,1.0000355532307321,1.0006802949573046,0.0006447417265724731,1.000213300427956,1.0040748559221246,0.003861555494168556,-0.00549585348400377,0.01674275965689492,0.02223861314089869,0.08958333333333333,0.12291666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,51,1.0001149385817405,1.000068398863871,-4.6539717869498176e-05,1.0006894334638279,1.0004103230359456,-0.000279110427882312,0.0013398543238977315,-0.0014381915468871947,-0.002778045870784926,0.10208333333333333,0.12083333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,52,1.0000376035515104,1.0000756157373336,3.8012185823221856e-05,1.0002256001034426,1.0004536086967981,0.00022800859335547763,-0.00430924697686731,0.00639038640998911,0.01069963338685642,0.08958333333333333,0.09166666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,53,1.000126009385185,1.000042032230045,-8.397715513996928e-05,1.0007558183155445,1.0002521668863282,-0.0005036514292162675,-0.0008453613073439462,-0.00869450621443098,-0.007849144907087033,0.11041666666666666,0.07708333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,54,1.0001864866111194,1.0001910786307633,4.592019643867573e-06,1.0011183985907839,1.00114592474595,2.752615516610213e-05,0.004400359866366434,0.002371186641435264,-0.00202917322493117,0.09166666666666666,0.125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,55,1.0000421962547994,1.0000322317021506,-9.964552648789038e-06,1.000253150827699,1.0001933746326792,-5.977619501984499e-05,-0.0018222357403119842,-0.005120063144583991,-0.0032978274042720066,0.11041666666666666,0.09583333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,56,1.0000388747482818,1.0000355532307321,-3.321517549670361e-06,1.000233225826288,1.000213300427956,-1.9925398331954725e-05,-0.004430112469403923,-0.008349228932316552,-0.0039191164629126295,0.09166666666666666,0.10625
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,57,1.0000414581431931,1.0001667652870558,0.00012530714386271846,1.0002487230839083,1.0010001749793258,0.0007514518954174765,-0.004003628070619296,0.0038013038532771384,0.007804931923896434,0.11458333333333333,0.07708333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,58,1.0000401869497058,1.0001096081511893,6.942120148356601e-05,1.0002410974792122,1.000657468816357,0.000416371337144783,0.0004939129873085024,0.003934195728414128,0.003440282741105626,0.08333333333333333,0.12708333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,59,1.000060443840735,1.0000407610372872,-1.9682803447773622e-05,1.0003626082624106,1.0002445413078866,-0.00011806695452398763,-0.011339036852913164,-0.0012008133702171573,0.010138223482696006,0.1,0.12916666666666668
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,60,1.0000309604969349,1.0007962617424366,0.0007653012455017816,1.000185748605996,1.0047681051395985,0.004582356533602505,-0.0035802578273534027,0.020342670364536523,0.023922928191889924,0.07291666666666667,0.08125
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,61,1.0000381366342241,1.001399973454795,0.0013618368205707831,1.0002287979942948,1.0083706863111346,0.008141888316839818,-0.007966646482245193,0.027235007265174242,0.03520165374741943,0.10416666666666667,0.09791666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,62,1.0000191505131726,1.0002290849839994,0.0002099344708268447,1.000114897578537,1.0013737237852698,0.0012588262067327882,-0.003563266677359603,0.009997475190807759,0.013560741868167362,0.08958333333333333,0.09791666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,63,1.0000388747482818,1.0000499873996385,1.1112651356670611e-05,1.000233225826288,1.0002998869279687,6.666110168063177e-05,-0.0029675347059334896,-0.010251713775733839,-0.0072841790698003495,0.07083333333333333,0.09791666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,64,1.0001293306023218,1.0000342820297388,-9.504857258302302e-05,1.0007757329123708,1.0002056745531962,-0.0005700583591745634,0.005984767325578887,-0.008317359898418256,-0.014302127223997143,0.11666666666666667,0.09583333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,65,1.0001582780279084,1.0000296482834041,-0.00012862974450422726,1.0009492927448969,1.0001778765174623,-0.0007714162274345959,0.00481258925931917,-0.005341059117868239,-0.01015364837718741,0.11666666666666667,0.12708333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,66,1.0000224720852027,1.000066389611423,4.39175262203495e-05,1.0001348249373208,1.0003982715811557,0.00026344664383493033,-0.0039486076825972554,0.0008377330119400769,0.004786340694537332,0.075,0.12708333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,67,1.0000407610372872,1.0000309604969349,-9.800540352378206e-06,1.0002445413078866,1.000185748605996,-5.8792701890686416e-05,-0.00829393200937291,-0.007681004673196658,0.0006129273361762527,0.1375,0.11875
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,68,1.0000702850971894,1.000042032230045,-2.8252867144473726e-05,1.0004216365144485,1.0002521668863282,-0.00016946962812025568,0.00024413783108023483,-0.008579986809603755,-0.00882412464068399,0.09166666666666666,0.08958333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,69,1.0000322317021506,1.000038177640575,5.9459384242899205e-06,1.0001933746326792,1.0002290439854753,3.5669352796086073e-05,0.0007163353188265682,-0.005976391964473968,-0.0066927272833005366,0.1125,0.09791666666666667
