N,nominal_load,actual_load,P,generator,corr,condition,rep,cue_noise,cue_id,target_index,cost_int,cost_cum,initial_overlap,final_overlap,retrieval_error,success,iterations
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,3,0,1.0003440657163913,1.0017191468021354,0.625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,4,5,1.0000310480176073,1.0001552304497388,0.59375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,5,4,1.0000566219477247,1.000283077687247,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,6,1,1.0001941432612713,1.0009703397557503,0.671875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,7,3,1.0001650859222682,1.0008251573024587,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,8,0,1.0003440657163913,1.0017191468021354,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,9,2,1.000353362493074,1.0017655660163203,0.578125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,10,0,1.0003440657163913,1.0017191468021354,0.59375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.2,11,5,1.0000310480176073,1.0001552304497388,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,0,1,1.0000537158522382,1.0002685504150102,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,1,3,1.0000459420053023,1.0002296889246796,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,2,5,1.0000430358787802,1.0002151608770165,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,3,5,1.0000430358787802,1.0002151608770165,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,4,0,1.0000337362171574,1.000168669706383,0.953125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,5,0,1.0000337362171574,1.000168669706383,0.84375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,6,1,1.0000537158522382,1.0002685504150102,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,7,2,1.000031411288239,1.0001570465760543,0.890625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,8,4,1.0000380227906807,1.0001900994988253,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.05,9,2,1.000031411288239,1.0001570465760543,0.953125,1.0,0.0,1,2
